,s
435,obo:SIBO_0000147
436,ub1bL64031C1
437,ub1bL17674C1
438,ub1bL12965C1
439,prov:qualifiedGeneration
440,ub1bL73647C183
441,ub1bL11598C1
442,ub1bL11492C1
443,obo:VT_0010272
444,obo:VT_0004284
445,ub1bL6266C1
446,ub1bL27447C1
447,obo:VT_0008112
448,obo:VT_0010291
449,f48546849c0734cc2bfcb392b68f347bdb304
450,obo:VT_1000748
451,ub1bL72134C34
452,obo:VT_0001670
453,obo:VT_0000599
454,obo:VT_0005389
455,obo:VT_0004469
456,obo:VT_0005594
457,obo:VT_0002151
458,ub1bL34940C1
459,untitled-ontology-65:OWLClass_616b701a_1767_4d7a_b54d_3af81c4879ec
460,ub1bL9290C1
461,obo:SIBO_0000238
462,obo:VT_0006102
463,obo:VT_1000742
464,obo:VT_1000468
465,obo:VT_0003446
466,ub1bL41797C1
467,obo:VT_0000056
468,ub1bL55833C1
469,ub1bL48107C1
470,obo:VT_0015000
471,obo:VT_1000189
472,f48546849c0734cc2bfcb392b68f347bdb444
473,ub1bL15777C1
474,ub1bL53702C1
475,obo:VT_0000897
476,obo:VT_1000713
477,obo:VT_0000049
478,ub1bL74430C134
479,http://www.opengis.net/ont/geosparql#ehContains
480,obo:VT_0000288
481,obo:VT_0010058
482,ub1bL55725C1
483,obo:VT_0010340
484,obo:VT_0015094
485,obo:VT_0008668
486,http://www.opengis.net/ont/geosparql#sfDisjoint
487,ub1bL62008C1
488,obo:VT_0002380
489,ub1bL64923C1
490,obo:VT_0002913
491,obo:VT_0005355
492,obo:VT_0010325
493,ub1bL32022C1
494,ub1bL24641C1
495,obo:VT_0002886
496,obo:VT_0000826
497,obo:VT_0000703
498,obo:VT_0002151
499,obo:VT_0004076
500,ub1bL51137C1
501,ub1bL35281C1
502,Countries:TrinidadAndTobago
503,ub1bL55743C1
504,obo:VT_0010333
505,obo:VT_0000623
506,obo:VT_0003687
507,ub1bL58760C1
508,obo:VT_0000065
509,ub1bL17158C1
510,ub1bL48971C1
511,ub1bL61737C1
512,obo:VT_0010051
513,ub1bL40448C1
514,obo:VT_0008088
515,http://www.opengis.net/ont/gml#CompositeCurve
516,ub1bL63594C1
517,obo:VT_0005270
518,obo:CDAO_0000151
519,obo:VT_0002472
520,http://www.opengis.net/ont/geosparql#hasGeometry
521,f48546849c0734cc2bfcb392b68f347bdb326
522,obo:NCBITaxon_3193
523,obo:VT_0010077
524,ub1bL65888C1
525,obo:VT_0008111
526,obo:VT_0001253
527,ub1bL57098C1
528,obo:VT_0000540
529,obo:VT_0000104
530,ub1bL13243C1
531,obo:VT_0000907
532,ub1bL63995C1
533,f48546849c0734cc2bfcb392b68f347bdb270
534,obo:VT_0003989
535,obo:VT_0004096
536,f48546849c0734cc2bfcb392b68f347bdb319
537,ub1bL17779C1
538,f48546849c0734cc2bfcb392b68f347bdb36
539,obo:VT_0006103
540,obo:VT_0010349
541,obo:VT_0010489
542,ub1bL29023C1
543,obo:VT_0010362
544,obo:VT_0003935
545,obo:VT_0002928
546,obo:VT_0002698
547,ub1bL56035C1
548,prov:ActivityInfluence
549,ub1bL58784C1
550,ub1bL29324C1
551,ub1bL16477C1
552,prov:qualifiedQuotation
553,obo:VT_0002619
554,dc:format
555,ub1bL21575C1
556,ub1bL30199C1
557,ub1bL35745C1
558,obo:SIBO_0000068
559,obo:VT_0006127
560,ub1bL11793C1
561,obo:VT_0001968
562,ub1bL10728C1
563,obo:VT_0004284
564,ub1bL73080C142
565,ub1bL19442C1
566,obo:VT_0010252
567,untitled-ontology-65:OWLObjectProperty_d30177d3_6ea4_4e7e_8341_06920350f5b9
568,obo:VT_1000612
569,obo:VT_0002340
570,prov:influenced
571,obo:VT_0000102
572,obo:VT_0010393
573,ub1bL19597C1
574,obo:VT_0005465
575,ub1bL39981C1
576,obo:VT_0002435
577,ub1bL68897C1
578,obo:VT_0010359
579,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Forecast3HoursWeatherReport
580,obo:VT_0004121
581,obo:VT_0005651
582,obo:VT_0005346
583,ub1bL6294C1
584,ub1bL66197C1
585,po:Musa
586,obo:VT_0005490
587,ub1bL55998C1
588,obo:VT_0001895
589,time:GeneralDurationDescription
590,ub1bL45919C1
591,ub1bL46604C1
592,ub1bL50552C1
593,obo:VT_0005252
594,ub1bL66630C1
595,ub1bL24054C1
596,obo:VT_0005254
597,ub1bL12187C1
598,ub1bL25464C1
599,obo:VT_0004128
600,time:Duration
601,prov:Usage
602,obo:VT_0003517
603,obo:VT_0002414
604,ub1bL16267C1
605,ub1bL8980C1
606,ub1bL14038C1
607,ub1bL64158C1
608,obo:VT_0000538
609,ub1bL52091C1
610,ub1bL72210C39
611,f48546849c0734cc2bfcb392b68f347bdb128
612,ub1bL73828C149
613,obo:VT_0015067
614,obo:VT_0006168
615,obo:VT_0003565
616,ub1bL21202C1
617,obo:VT_0002160
618,ub1bL62521C1
619,f48546849c0734cc2bfcb392b68f347bdb256
620,obo:VT_0008182
621,obo:VT_0001961
622,obo:VT_0002817
623,Countries:Micronesia
624,ub1bL14005C1
625,ub1bL6641C1
626,ub1bL21702C1
627,ub1bL15495C1
628,obo:VT_0000994
629,obo:VT_0008595
630,obo:VT_0000011
631,obo:VT_0001073
632,obo:VT_0008172
633,prov:Location
634,obo:VT_0010142
635,ub1bL31430C1
636,ub1bL33461C1
637,ub1bL39305C1
638,obo:VT_0000935
639,ub1bL37250C1
640,obo:VT_0008668
641,obo:VT_0010366
642,ub1bL44788C1
643,obo:VT_0000027
644,ub1bL43595C1
645,ub1bL22301C1
646,ub1bL12067C1
647,obo:VT_0003420
648,ub1bL39482C1
649,obo:VT_0003485
650,obo:VT_0000901
651,obo:VT_0008038
652,obo:VT_0000995
653,obo:VT_0006007
654,obo:VT_0003883
655,obo:VT_0004236
656,obo:VT_1000711
657,obo:VT_0000017
658,prov:hadActivity
659,obo:VT_0000470
660,ub1bL17194C1
661,obo:VT_0004167
662,obo:VT_0001146
663,ub1bL9810C1
664,obo:MIAPA_0000032
665,obo:VT_0004152
666,obo:VT_0003119
667,obo:VT_0005092
668,f48546849c0734cc2bfcb392b68f347bdb370
669,ub1bL62282C1
670,ub1bL14302C1
671,ub1bL40524C1
672,ub1bL29305C1
673,obo:VT_0005100
674,obo:VT_0000802
675,ub1bL63058C1
676,ub1bL17281C1
677,obo:VT_0002444
678,ub1bL36542C1
679,obo:VT_0004096
680,prov:Activity
681,obo:VT_0003328
682,ub1bL39873C1
683,ub1bL24902C1
684,ub1bL19940C1
685,ub1bL34573C1
686,ub1bL43077C1
687,obo:VT_0004269
688,ub1bL69678C1
689,ub1bL49138C1
690,obo:VT_0008473
691,http://www.opengis.net/ont/gml#TriangulatedSurface
692,obo:VT_0003563
693,obo:VT_0000150
694,obo:VT_0008766
695,ub1bL33376C1
696,obo:VT_0008704
697,obo:VT_0015075
698,obo:VT_1000238
699,skos:hasTopConcept
700,ub1bL33671C1
701,obo:CDAO_0000095
702,obo:VT_1000067
703,ub1bL56766C1
704,ub1bL31430C1
705,ub1bL33461C1
706,ub1bL39305C1
707,ub1bL73857C135
708,ub1bL49401C1
709,ub1bL5771C34
710,ub1bL48474C1
711,obo:VT_0000074
712,ub1bL14468C1
713,ub1bL59325C1
714,obo:VT_1000523
715,obo:VT_0010083
716,obo:VT_0000937
717,untitled-ontology-65:OWLObjectProperty_641298a8_a8e9_46d1_b32e_c9ab871a5ad9
718,ub1bL73874C134
719,obo:VT_0001900
720,obo:VT_0005410
721,obo:VT_0008196
722,obo:VT_0003088
723,obo:IAO_0000117
724,obo:VT_0003576
725,obo:VT_0008677
726,untitled-ontology-65:OWLClass_fbcb2680_94f1_45eb_b644_7eb331b30c6b
727,obo:VT_1000120
728,ub1bL72146C34
729,f48546849c0734cc2bfcb392b68f347bdb49
730,obo:VT_0015038
731,obo:VT_0002111
732,ub1bL37575C1
733,ub1bL15385C1
734,obo:VT_0010102
735,obo:VT_0010329
736,ub1bL31607C1
737,obo:VT_0004230
738,ub1bL48285C1
739,ub1bL73075C119
740,obo:VT_0008739
741,ub1bL67828C1
742,oboInOwl:hasNarrowSynonym
743,prov:InstantaneousEvent
744,obo:VT_0010465
745,ub1bL59887C1
746,obo:CDAO_0000220
747,ub1bL50428C1
748,ub1bL45429C1
749,ub1bL26749C1
750,ub1bL56591C1
751,ub1bL74492C143
752,obo:VT_0003339
753,obo:VT_0000002
754,obo:VT_1000525
755,ub1bL74145C273
756,ub1bL66898C1
757,obo:VT_0010382
758,ub1bL6266C1
759,obo:VT_0010393
760,obo:VT_1000181
761,ub1bL31779C1
762,obo:VT_0000762
763,ub1bL15612C1
764,ub1bL18158C1
765,obo:VT_0010263
766,obo:VT_0005241
767,obo:VT_0003243
768,obo:VT_1000684
769,obo:VT_0008197
770,obo:VT_0000341
771,prov:Derivation
772,obo:VT_0002682
773,obo:VT_0003618
774,ub1bL45705C1
775,ub1bL31931C1
776,untitled-ontology-65:OWLClass_63d7273c_d094_48f9_a532_90877515a39a
777,skos:narrowMatch
778,ub1bL66854C1
779,Countries:Suriname
780,ub1bL52990C1
781,http://www.opengis.net/ont/geosparql#sfCrosses
782,ub1bL20483C1
783,ub1bL32661C1
784,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Rain
785,obo:VT_0010506
786,ub1bL47644C1
787,obo:VT_0010233
788,obo:VT_1000642
789,f48546849c0734cc2bfcb392b68f347bdb421
790,obo:VT_0003084
791,ub1bL26937C1
792,obo:VT_0003011
793,ub1bL18087C1
794,untitled-ontology-65:OWLObjectProperty_56ff5860_b7dc_4f76_b4cd_d1ae398bf018
795,ub1bL35745C1
796,obo:VT_0004291
797,ub1bL26190C1
798,ub1bL40948C1
799,obo:VT_0003168
800,ub1bL25762C1
801,obo:VT_0010215
802,ub1bL34904C1
803,ub1bL35575C1
804,ub1bL41669C1
805,obo:VT_2000001
806,ub1bL50656C1
807,ub1bL63058C1
808,ub1bL19883C1
809,untitled-ontology-65:OWLClass_52c6df2e_a74d_49dd_8806_af38c7e722ac
810,ub1bL33324C1
811,obo:VT_0000620
812,obo:VT_0000964
813,ub1bL26785C1
814,obo:VT_0003069
815,obo:VT_0010031
816,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#hasObservationTime
817,ub1bL51748C1
818,obo:CDAO_0000093
819,obo:VT_0000150
820,obo:VT_0015039
821,ub1bL69526C1
822,obo:VT_0002092
823,obo:VT_0003648
824,obo:VT_0003420
825,obo:VT_0002256
826,ub1bL28874C1
827,obo:VT_0002782
828,Countries:Singapore
829,obo:VT_0000617
830,obo:VT_0003271
831,obo:VT_0002391
832,ub1bL13034C1
833,obo:VT_0010184
834,obo:VT_0003932
835,obo:VT_0010517
836,obo:VT_1000421
837,ub1bL26687C1
838,ub1bL44714C1
839,f48546849c0734cc2bfcb392b68f347bdb407
840,ub1bL74403C118
841,ub1bL54371C1
842,ub1bL74353C115
843,ub1bL28218C1
844,ub1bL69010C1
845,obo:VT_0015079
846,obo:VT_0008649
847,obo:VT_0010349
848,time:monthOfYear
849,obo:VT_0010213
850,obo:VT_0010138
851,ub1bL71767C68
852,obo:VT_0010303
853,ub1bL11793C1
854,ub1bL63022C1
855,obo:VT_0001756
856,po:Gymnosperms
857,ub1bL21735C1
858,obo:VT_0003733
859,obo:VT_1000226
860,obo:VT_0003935
861,obo:VT_0005521
862,Countries:Iran
863,skos:hiddenLabel
864,ub1bL58129C1
865,obo:VT_0001248
866,obo:VT_0000036
867,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within
868,ub1bL62160C1
869,prov:atTime
870,obo:VT_0015009
871,ub1bL28436C1
872,obo:VT_0010517
873,xsd:gDay
874,ub1bL44304C1
875,obo:VT_0004954
876,obo:VT_0003506
877,ub1bL50131C1
878,obo:VT_0006011
879,obo:VT_0002184
880,ub1bL40734C1
881,obo:VT_0010443
882,http://www.opengis.net/ont/gml#Curve
883,obo:VT_0002733
884,ub1bL43526C1
885,obo:VT_0015005
886,f48546849c0734cc2bfcb392b68f347bdb308
887,ub1bL43456C1
888,obo:CDAO_0000023
889,http://www.opengis.net/ont/geosparql#ehInside
890,obo:VT_0001744
891,ub1bL6830C34
892,obo:VT_0003705
893,obo:VT_1000220
894,ub1bL17638C1
895,ub1bL11077C1
896,obo:VT_0001322
897,:OWLClass_952e74bb_d0da_4529_8f87_141fe12fc89f
898,ub1bL66465C1
899,ub1bL74552C160
900,obo:VT_0004211
901,ub1bL56247C1
902,ub1bL57098C1
903,obo:VT_0000521
904,obo:VT_0002648
905,ub1bL40349C1
906,obo:VT_0000019
907,ub1bL10728C1
908,obo:VT_0015029
909,obo:VT_0000530
910,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#hasLatitude
911,Countries:Bangladesh
912,obo:VT_0001588
913,obo:VT_0000973
914,ub1bL74031C141
915,f48546849c0734cc2bfcb392b68f347bdb397
916,obo:VT_0005609
917,ub1bL35662C1
918,obo:VT_0001033
919,ub1bL15702C1
920,obo:VT_0002631
921,ub1bL10042C1
922,obo:VT_0015055
923,ub1bL12219C1
924,ub1bL64608C1
925,ub1bL45825C1
926,obo:VT_0005500
927,ub1bL64452C1
928,obo:VT_0010074
929,obo:SIBO_0000246
930,ub1bL23412C1
931,ub1bL6520C34
932,obo:VT_0001502
933,ub1bL15612C1
934,ub1bL26291C1
935,ub1bL49182C1
936,obo:VT_0001143
937,ub1bL55725C1
938,ub1bL54349C1
939,obo:CDAO_0000144
940,obo:VT_0002636
941,obo:VT_0002827
942,ub1bL31144C1
943,obo:VT_0002656
944,prov:wasAttributedTo
945,obo:VT_0000076
946,ub1bL12516C1
947,obo:VT_0003809
948,obo:VT_0008080
949,obo:VT_0005336
950,obo:VT_0010294
951,obo:VT_0006100
952,obo:VT_0002271
953,obo:VT_0001046
954,ub1bL19084C1
955,obo:VT_0001088
956,obo:VT_0003743
957,ub1bL36677C1
958,time:intervalFinishes
959,obo:VT_0001329
960,obo:CDAO_0000018
961,obo:VT_0003015
962,ub1bL7288C34
963,ub1bL33941C1
964,ub1bL37331C1
965,obo:VT_0100006
966,ub1bL67636C1
967,obo:CDAO_0000220
968,ub1bL31907C1
969,ub1bL42063C1
970,ub1bL46458C1
971,obo:VT_0010450
972,ub1bL32982C1
973,f48546849c0734cc2bfcb392b68f347bdb266
974,f48546849c0734cc2bfcb392b68f347bdb56
975,obo:VT_0010181
976,obo:VT_0008616
977,untitled-ontology-65:OWLObjectProperty_c848cde9_7842_4b33_9d1e_13ee3ad50219
978,ub1bL49853C1
979,ub1bL55670C1
980,obo:VT_0010531
981,obo:VT_1000047
982,skos:narrowerTransitive
983,ub1bL13594C1
984,obo:VT_0008401
985,ub1bL9606C1
986,ub1bL27940C1
987,ub1bL58083C1
988,ub1bL30994C1
989,ub1bL27427C1
990,ub1bL17724C1
991,ub1bL37331C1
992,ub1bL59752C1
993,obo:VT_0000805
994,time:TemporalUnit
995,obo:VT_0005020
996,ub1bL10638C1
997,obo:VT_0010017
998,ub1bL10977C1
999,ub1bL40858C1
1000,f48546849c0734cc2bfcb392b68f347bdb428
1001,obo:CDAO_0000186
1002,obo:VT_0002455
1003,untitled-ontology-65:OWLClass_4062c758_d201_4829_b305_1fb647b70b07
1004,ub1bL30525C1
1005,obo:VT_0004479
1006,ub1bL19259C1
1007,obo:VT_0003471
1008,ub1bL36999C1
1009,obo:VT_0015014
1010,ub1bL27794C1
1011,obo:VT_0001387
1012,ub1bL16884C1
1013,obo:VT_0003185
1014,ub1bL40147C1
1015,obo:VT_0007026
1016,ub1bL9253C1
1017,obo:VT_0002369
1018,obo:VT_0003508
1019,obo:VT_0006031
1020,ub1bL56288C1
1021,obo:VT_0008088
1022,ub1bL30507C1
1023,ub1bL55965C1
1024,obo:VT_0003885
1025,obo:VT_0002123
1026,obo:VT_0010305
1027,obo:VT_0010316
1028,ub1bL1455C29
1029,ub1bL40491C1
1030,ub1bL21988C1
1031,obo:VT_0010056
1032,obo:VT_0006104
1033,ub1bL8110C1
